event_id,user_id,event_type,status,timestamp,session_id,platform,country,amount
E001,U101,login,success,2024-01-15 08:01:23,S001,mobile,IN,
E002,U102,purchase,success,2024-01-15 08:05:44,S002,web,US,149.99
E003,U101,view_product,success,2024-01-15 08:06:11,S001,mobile,IN,
E004,U103,login,failed,2024-01-15 08:07:00,S003,web,UK,
E005,U104,purchase,success,2024-01-15 08:09:32,S004,mobile,IN,89.50
E006,U102,logout,success,2024-01-15 08:11:00,S002,web,US,
E007,U105,login,success,2024-01-15 08:12:45,S005,web,AU,
E008,U103,login,failed,2024-01-15 08:13:01,S003,web,UK,
E009,U106,purchase,failed,2024-01-15 08:15:22,S006,mobile,IN,299.00
E010,U101,purchase,success,2024-01-15 08:18:55,S001,mobile,IN,55.00
E011,U107,view_product,success,2024-01-15 09:00:10,S007,web,US,
E012,U108,login,success,2024-01-15 09:01:00,S008,mobile,IN,
E013,U109,purchase,success,2024-01-15 09:05:30,S009,web,UK,210.75
E014,U110,logout,success,2024-01-15 09:07:44,S010,web,US,
E015,U103,login,success,2024-01-15 09:08:00,S011,web,UK,
E016,U111,purchase,success,2024-01-15 09:11:20,S012,mobile,AU,75.25
E017,U112,view_product,success,2024-01-15 09:15:00,S013,web,IN,
E018,U101,purchase,success,2024-01-15 09:20:11,S001,mobile,IN,33.00
E019,U113,login,failed,2024-01-15 09:22:00,S014,web,US,
E020,U114,purchase,success,2024-01-15 09:25:40,S015,mobile,IN,999.99
E021,U115,login,success,2024-01-15 10:00:00,S016,web,UK,
E022,U116,purchase,success,2024-01-15 10:03:22,S017,mobile,US,44.00
E023,U117,view_product,success,2024-01-15 10:05:10,S018,web,AU,
E024,U118,purchase,failed,2024-01-15 10:07:55,S019,web,IN,120.00
E025,U101,logout,success,2024-01-15 10:10:00,S001,mobile,IN,
E026,U119,login,success,2024-01-15 10:12:30,S020,web,US,
E027,U120,purchase,success,2024-01-15 10:14:00,S021,mobile,IN,67.80
E028,U121,view_product,success,2024-01-15 10:16:44,S022,web,UK,
E029,U122,purchase,success,2024-01-15 10:20:01,S023,mobile,AU,188.50
E030,U123,login,success,2024-01-15 10:22:15,S024,web,US,
E031,U103,purchase,success,2024-01-15 10:25:33,S011,web,UK,92.00
E032,U124,login,failed,2024-01-15 10:27:00,S025,mobile,IN,
E033,U125,purchase,success,2024-01-15 10:30:45,S026,web,US,310.00
E034,U126,view_product,success,2024-01-15 10:33:10,S027,mobile,AU,
E035,U127,purchase,success,2024-01-15 10:35:00,S028,web,IN,22.50
E036,U128,logout,success,2024-01-15 10:37:00,S029,web,UK,
E037,U129,purchase,success,2024-01-15 10:40:20,S030,mobile,US,475.00
E038,U130,login,success,2024-01-15 10:42:00,S031,web,IN,
E039,U101,purchase,success,2024-01-15 10:45:11,S032,mobile,IN,18.00
E040,U131,purchase,failed,2024-01-15 10:47:30,S033,web,AU,88.00
