transaction_id,customer_id,amount,status,payment_method,created_at,merchant_category,country,is_flagged
T0001,C001,250.00,success,credit_card,2024-01-10 09:00:00,retail,IN,0
T0002,C002,89.99,success,upi,2024-01-10 09:05:22,food,IN,0
T0003,C003,1500.00,success,credit_card,2024-01-10 09:10:10,electronics,US,0
T0004,C001,45.50,failed,debit_card,2024-01-10 09:15:00,food,IN,0
T0005,C004,9999.99,success,credit_card,2024-01-10 09:20:45,electronics,UK,1
T0006,C005,120.00,success,upi,2024-01-10 09:25:00,retail,IN,0
T0007,C002,300.00,success,credit_card,2024-01-10 09:30:11,travel,US,0
T0008,C006,15.00,success,upi,2024-01-10 09:35:00,food,IN,0
T0009,C007,5500.00,success,bank_transfer,2024-01-10 09:40:22,electronics,AU,1
T0010,C003,75.00,failed,credit_card,2024-01-10 09:45:00,retail,US,0
T0011,C008,199.99,success,credit_card,2024-01-10 10:00:00,retail,IN,0
T0012,C009,450.00,success,upi,2024-01-10 10:05:33,travel,IN,0
T0013,C010,22.50,success,debit_card,2024-01-10 10:10:00,food,UK,0
T0014,C001,310.00,success,credit_card,2024-01-10 10:15:45,electronics,IN,0
T0015,C011,8750.00,success,bank_transfer,2024-01-10 10:20:00,electronics,US,1
T0016,C012,55.00,success,upi,2024-01-10 10:25:10,food,IN,0
T0017,C013,780.00,success,credit_card,2024-01-10 10:30:00,travel,AU,0
T0018,C014,33.00,failed,debit_card,2024-01-10 10:35:22,food,UK,0
T0019,C015,125.00,success,credit_card,2024-01-10 10:40:00,retail,IN,0
T0020,C004,2200.00,success,bank_transfer,2024-01-10 10:45:11,electronics,UK,0
T0021,C016,18.75,success,upi,2024-01-11 08:00:00,food,IN,0
T0022,C017,640.00,success,credit_card,2024-01-11 08:05:00,travel,US,0
T0023,C018,95.00,success,debit_card,2024-01-11 08:10:44,retail,AU,0
T0024,C019,12500.00,success,bank_transfer,2024-01-11 08:15:00,electronics,IN,1
T0025,C020,42.00,success,upi,2024-01-11 08:20:30,food,UK,0
T0026,C002,185.50,success,credit_card,2024-01-11 08:25:00,retail,US,0
T0027,C021,370.00,success,credit_card,2024-01-11 08:30:10,travel,IN,0
T0028,C022,28.00,failed,upi,2024-01-11 08:35:00,food,AU,0
T0029,C023,910.00,success,credit_card,2024-01-11 08:40:55,electronics,UK,0
T0030,C024,66.00,success,debit_card,2024-01-11 08:45:00,retail,US,0
T0031,C025,250.00,success,upi,2024-01-11 09:00:00,retail,IN,0
T0032,C026,7800.00,success,bank_transfer,2024-01-11 09:05:22,electronics,US,1
T0033,C027,135.00,success,credit_card,2024-01-11 09:10:00,food,AU,0
T0034,C028,480.00,success,credit_card,2024-01-11 09:15:45,travel,IN,0
T0035,C001,88.00,failed,debit_card,2024-01-11 09:20:00,retail,IN,0
T0036,C029,220.00,success,upi,2024-01-11 09:25:10,retail,UK,0
T0037,C030,3300.00,success,bank_transfer,2024-01-11 09:30:00,electronics,US,0
T0038,C031,49.99,success,credit_card,2024-01-11 09:35:33,food,IN,0
T0039,C032,600.00,success,credit_card,2024-01-11 09:40:00,travel,AU,0
T0040,C033,15.25,success,upi,2024-01-11 09:45:00,food,UK,0
